

"No.","Time","Source","Destination","Protocol","Length","Info"
"11","2.810131435","172.16.16.2","176.9.138.37","CoAP","331","CON, MID:52948, POST, TKN:d4 ce 7c 8c, /rd?lwm2m=1.1&ep=svdwat007-567&b=U&lt=25"
"12","3.144790631","176.9.138.37","172.16.16.2","CoAP","63","CON, MID:53906, GET, TKN:b9 df 73 c5 58 3e a0 75, /2/8"
"25","4.810446281","172.16.16.2","176.9.138.37","CoAP","331","CON, MID:52948, POST, TKN:d4 ce 7c 8c, /rd?lwm2m=1.1&ep=svdwat007-567&b=U&lt=25 [Retransmission]"
"26","5.679464387","176.9.138.37","172.16.16.2","CoAP","89","ACK, MID:52948, 2.01 Created, TKN:d4 ce 7c 8c, /rd"
"27","5.919414930","176.9.138.37","172.16.16.2","CoAP","63","CON, MID:53913, GET, TKN:5c 47 bc 68 0d 88 17 b1, /3/0"
"28","6.075761069","176.9.138.37","172.16.16.2","CoAP","89","ACK, MID:52948, 2.01 Created, TKN:d4 ce 7c 8c, /rd"
"29","6.811421347","172.16.16.2","176.9.138.37","CoAP","139","ACK, MID:53913, 2.05 Content, TKN:5c 47 bc 68 0d 88 17 b1, /3/0"
"30","6.811438567","172.16.16.2","176.9.138.37","CoAP","48","ACK, MID:53913, 5.00 Internal Server Error"
"53","15.555706264","176.9.138.37","172.16.16.2","CoAP","66","CON, MID:53914, GET, TKN:f2 47 e4 48 3b f0 19 1a, /3339/0"
"54","15.812865968","172.16.16.2","176.9.138.37","CoAP","66","ACK, MID:53914, 2.05 Content, TKN:f2 47 e4 48 3b f0 19 1a, /3339/0"
"55","15.812882530","172.16.16.2","176.9.138.37","CoAP","48","ACK, MID:53914, 5.00 Internal Server Error"
"58","17.067467327","176.9.138.37","172.16.16.2","CoAP","64","CON, MID:53915, GET, TKN:79 bf 1e a5 fb e6 16 6b, /2/10"
"61","17.813309134","172.16.16.2","176.9.138.37","CoAP","75","ACK, MID:53915, 2.05 Content, TKN:79 bf 1e a5 fb e6 16 6b, /2/10"
"62","17.813324466","172.16.16.2","176.9.138.37","CoAP","48","ACK, MID:53915, 5.00 Internal Server Error"
"72","19.234552225","176.9.138.37","172.16.16.2","CoAP","63","CON, MID:53916, GET, TKN:1a ef 82 63 cd 9b b5 0f, /4/0"
"74","19.813698785","172.16.16.2","176.9.138.37","CoAP","85","ACK, MID:53916, 2.05 Content, TKN:1a ef 82 63 cd 9b b5 0f, /4/0"
"75","19.813714448","172.16.16.2","176.9.138.37","CoAP","48","ACK, MID:53916, 5.00 Internal Server Error"
"78","21.224574493","176.9.138.37","172.16.16.2","CoAP","63","CON, MID:53917, GET, TKN:86 ed 60 be c6 9c 7a 7f, /2/2"
